2019abca,Canadian Rockies Regional
2019alhu,Rocket City Regional
2019arc,Archimedes Division
2019arli,Arkansas Rock City Regional
2019ausc,Southern Cross Regional
2019ausp,South Pacific Regional
2019azfl,Arizona North Regional
2019azpx,Arizona West Regional
2019bcvi,Canadian Pacific Regional
2019caav,Aerospace Valley Regional
2019cacg,CalGames
2019cada,Sacramento Regional
2019cadm,Del Mar Regional presented by Qualcomm
2019cafr,Central Valley Regional
2019cala,Los Angeles Regional
2019caln,Los Angeles North Regional
2019camb,Monterey Bay Regional
2019caoc,Orange County Regional
2019cars,Carson Division
2019carv,Carver Division
2019casd,San Diego Regional presented by Qualcomm
2019casf,San Francisco Regional
2019casj,Silicon Valley Regional
2019cass,SCRRF SoCal Spring Scrimmage
2019cave,Ventura Regional
2019chcmp,FIRST Chesapeake District Championship
2019ckw0,Centurion-KnightKrawler Week Zero
2019cmpmi,FIRST Championship (Detroit)
2019cmptx,FIRST Championship (Houston)
2019code,Colorado Regional
2019cthar,NE District Hartford Event
2019ctwat,NE District Waterbury Event
2019cur,Curie Division
2019dal,Daly Division
2019dar,Darwin Division
2019flor,Orlando Regional
2019flwp,South Florida Regional 
2019ftcmp,FIRST In Texas District Championship
2019gaalb,PCH District Albany Event presented by Procter & Gamble
2019gacmp,Peachtree District State Championship
2019gacol,PCH District Columbus Event
2019gadal,PCH District Dalton Event
2019gafor,PCH District Forsyth District Event
2019gagai,PCH District Gainesville Event
2019gal,Galileo Division
2019hiho,Hawaii Regional
2019hop,Hopper Division
2019iacf,Iowa Regional
2019idbo,Idaho Regional
2019ilch,Midwest Regional
2019ilpe,Central Illinois Regional
2019incmp,Indiana State Championship
2019ingre,IN District Center Grove Event sponsored by Toyota
2019inmis,IN District St. Joseph Event
2019inpr,Penn Robotics Scrimmage
2019inwla,IN District Tippecanoe Event
2019iscmp,FIRST Israel District Championship   ***See Site Information Document for more i
2019isde1,ISR District Event #1
2019isde2,ISR District Event #2
2019isde3,ISR District Event #3
2019isde4,ISR District Event #4
2019ksla,Heartland Regional
2019lake,Bayou Regional
2019mabos,NE District Greater Boston Event
2019mabri,NE District SE Mass Event
2019macma,NE District Central Mass Event
2019marea,NE District North Shore Event
2019mawne,NE District Western NE Event
2019mdbet,CHS District Bethesda MD Event sponsored by Bechtel
2019mdowi,CHS District Owings Mills MD Event sponsored by Leidos
2019mdoxo,CHS District Oxon Hill MD Event
2019melew,NE District Pine Tree Event
2019mesh,Summer Heat
2019mial2,FIM District Alpena Event #2
2019mialp,FIM District Alpena Event #1
2019mibel,FIM District Belleville Event
2019micen,FIM District Center Line Event
2019micmp,Michigan State Championship
2019micmp1,Michigan State Championship - DTE Energy Foundation Division
2019micmp2,Michigan State Championship - Consumers Energy Division
2019micmp3,Michigan State Championship - Ford Division
2019micmp4,Michigan State Championship - Dow Division
2019midcw0,Dickinson Center Week 0
2019midet,FIM District Detroit Event
2019mifor,FIM District Forest Hills Event
2019migib,FIM District Gibraltar Event
2019migul,FIM District Gull Lake Event
2019mijac,FIM District Jackson Event
2019mike2,FIM District Kettering University Event #2
2019miken,FIM District East Kentwood Event
2019miket,FIM District Kettering University Event #1
2019mikng,FIM District Kingsford Event
2019milak,FIM District Lakeview Event
2019milan,FIM District Lansing Event
2019milin,FIM District Lincoln Event
2019miliv,FIM District Livonia Event
2019milsu,FIM District Lake Superior State University Event
2019mimar,FIM District Marysville Event
2019mimid,FIM District Midland Event
2019mimil,FIM District Milford Event
2019mimus,FIM District Muskegon Event
2019mishe,FIM District Shepherd Event
2019misjo,FIM District St. Joseph Event
2019misou,FIM District Southfield Event
2019mitry,FIM District Troy Event
2019mitvc,FIM District Traverse City Event
2019miwmi,FIM District West Michigan Event
2019mndu,Lake Superior Regional
2019mndu2,Northern Lights Regional
2019mngggt,Gitchi Gummi Get-Together 2019
2019mnmi,Minnesota 10,000 Lakes Regional presented by the Medtronic Foundation
2019mnmi2,Minnesota North Star Regional
2019mnwcw,West Central Week 0
2019mokc,Greater Kansas City Regional
2019mokc3,Central Missouri Regional
2019mosl,St. Louis Regional
2019mrcmp,FIRST Mid-Atlantic District Championship
2019mxcm,Regional de la Ciudad de Mexico
2019mxmo,Regional Monterrey
2019mxto,Regional Laguna
2019ncash,FNC District UNC Asheville Event
2019nccmp,FIRST North Carolina State Championship
2019ncgui,FNC District Guilford County Event
2019ncpem,FNC District UNC Pembroke Event
2019ncwak,FNC District Wake County Event
2019ndgf,Great Northern Regional
2019necmp,New England District Championship
2019new,Newton Division
2019nhdur,NE District UNH Event
2019nhgrs,NE District Granite State Event
2019nhsnh,NE District Southern NH Event
2019njbri,FMA District Bridgewater-Raritan Event
2019njfla,FMA District Mount Olive Event
2019njski,FMA District Montgomery Event
2019njtab,FMA District Seneca Event
2019nvlv,Las Vegas Regional
2019nyli,SBPLI Long Island Regional #1
2019nyli2,SBPL2 Long Island Regional #2
2019nyny,New York City Regional
2019nyro,Finger Lakes Regional 
2019nyrra,Rochester Rally
2019nysu,Hudson Valley Regional
2019nytr,New York Tech Valley Regional
2019nyut,Central New York Regional
2019ohcl,Buckeye Regional
2019ohmv,Miami Valley Regional
2019okok,Oklahoma Regional
2019onbar,ONT District Georgian College Event
2019oncmp,FIRST Ontario Provincial Championship
2019oncmp1,FIRST Ontario Provincial Championship - Science Division
2019oncmp2,FIRST Ontario Provincial Championship - Technology Division
2019onham,ONT District McMaster University Event
2019onlon,ONT District Western University, Western Engineering Event
2019onnob,ONT District North Bay Event
2019onnyo,ONT District York University Event
2019onosh,ONT District Durham College Event
2019onto1,ONT District Ryerson University Event
2019onto3,ONT District Humber College Event
2019onwat,ONT District University of Waterloo Event
2019onwin,ONT District Windsor Essex Great Lakes Event
2019orlak,PNW District Lake Oswego Event
2019orore,PNW District Clackamas Academy Event
2019orwil,PNW District Wilsonville Event
2019paben,FMA District Bensalem Event
2019paca,Greater Pittsburgh Regional
2019pahat,FMA District Hatboro-Horsham Event
2019paphi,FMA District Springside Chestnut Hill Academy Event
2019pascs,Steel City Showdown
2019pawch,FMA District Westtown Event
2019pncmp,Pacific Northwest FIRST District Championship
2019qcmo,Festival de Robotique a Montreal Regional
2019qcqc,Festival de Robotique a Quebec City Regional
2019reny,Regal Eagle Rampage
2019rismi,NE District Rhode Island Event
2019roe,Roebling Division
2019scmb,Palmetto Regional
2019tes,Tesla Division
2019tnkn,Smoky Mountains Regional
2019tuis,Istanbul Regional
2019tuis2,Bosphorus Regional
2019tur,Turing Division
2019txama,FIT District Amarillo Event
2019txaus,FIT District Austin Event
2019txcha,FIT District Channelview Event
2019txdel,FIT District Del Rio Event
2019txdls,FIT District Dallas Event
2019txelp,FIT District El Paso Event
2019txgre,FIT District Greenville Event
2019txpas,FIT District Pasadena Event
2019txpla,FIT District Plano Event
2019txsan,FIT District San Antonio Event
2019txwn6,Houston Week -6 Event
2019utwv,Utah Regional
2019vabla,CHS District Blacksburg VA Event
2019vagle,CHS District Richmond VA Event sponsored by Dominion Energy
2019vahay,CHS District Haymarket VA Event sponsored by Booz Allen Hamilton
2019vapor,CHS District Portsmouth VA Event sponsored by Newport News Shipbuilding
2019waahs,PNW District Auburn Event
2019waamv,PNW District Auburn Mountainview Event
2019wamou,PNW District Mount Vernon Event
2019wasno,PNW District Glacier Peak Event
2019waspo,PNW District West Valley Event
2019wayak,PNW District SunDome Event
2019week0,Week 0
2019wila,Seven Rivers Regional
2019wimi,Wisconsin Regional
